Tract ID,e(0)
25017336200,84.4
25017336300,80.8
25017336401,82.7
25017336402,79.5
25017337101,82.6
25017337102,81.6
25017337201,82.3
25017337202,81.1
25017337300,82.8
25017338100,83
25017338200,83.6
25017338300,81.9
25017338400,87.1
25017338500,82.4
25017339100,80.7
25017339200,80.6
25017339300,79.5
25017339400,78.7
25017339500,79.8
25017339600,82.1
25017339700,80.6
25017339801,82.1
25017339802,79.5
25017339900,80.5
25017340000,81.4
25017340100,80.4
25017341101,81.3
25017341102,77.8
25017341200,81.9
25017341300,81.3
25017341400,79.8
25017341500,82.2
25017341600,82.8
25017341700,81.5
25017341800,76.9
25017341901,81
25017341902,79.5
25017342101,77.4
25017342102,81.9
25017342201,83.7
25017342202,76.3
25017342300,81.1
25017342400,80.7
25017342500,79.1
25017342600,80
25017350103,82
25017350104,77.8
25017350200,81.5
25017350300,79.8
25017350400,82.2
25017350500,83.4
25017350700,80.8
25017350800,81.3
25017350900,81.2
25017351000,81.5
25017351100,79.3
25017351203,81.4
25017351204,79.4
25017351300,78.3
25017351403,78.3
25017351404,80.3
25017351500,78.8
25017352102,85.2
25017352300,81.9
25017352400,78.4
25017352500,81.2
25017352600,80.1
25017352700,72.7
25017352800,77.9
25017352900,81.3
25017353000,79.3
25017353200,81.6
25017353300,85.9
25017353400,79.9
25017353500,82.6
25017353600,85.5
25017353700,80.7
25017353800,79.7
25017353900,80.1
25017354000,81.5
25017354100,84.7
25017354200,89.6
25017354300,83
25017354400,85.1
25017354500,81.5
25017354600,83.7
25017354700,82
25017354800,82.5
25017354900,82.8
25017355000,83.3
25017356100,83.3
25017356300,83.8
25017356400,82.7
25017356500,84.3
25017356601,82.3
25017356602,83.1
25017356701,82.7
25017356702,87.7
25017357100,84.6
25017357200,87.2
25017357300,81.7
25017357400,81.5
25017357500,81.6
25017357600,81
25017357700,81.6
25017357800,85.8
25017358100,83.9
25017358300,84.5
25017358400,89.1
25017358500,85.5
25017358600,88.1
25017358700,89.3
25017359100,81.1
25017359300,82.8
25017360200,91.4
25017361100,81.9
25017361200,81.2
25017363102,82.7
25017363104,85.3
25017363201,82
25017363202,82
25017364101,85.4
25017364102,80.3
25017365100,85.8
25017365201,82.2
25017365202,83.4
25017366100,82
25017366201,83.9
25017366202,86.4
25017367100,82.4
25017367200,83.7
25017368101,85.4
25017368102,81.5
25017368200,81.7
25017368300,83.8
25017368400,83.5
25017368500,80.9
25017368600,81.7
25017368700,81.2
25017368800,81.7
25017368901,81.3
25017368902,87.3
25017369000,81.4
25017369100,83
25017370101,81.3
25017370102,81.4
25017370201,82.7
25017370202,83.2
25017370300,80.6
25017370400,82.7
25017373100,85.9
25017373200,84.7
25017373300,80.3
25017373400,84.4
25017373500,88.8
25017373600,81.3
25017373700,84.4
25017373800,94.2
25017373900,87.4
25017374000,85
25017374100,83
25017374200,83.9
25017374300,86
25017374500,84.5
25017374600,81.2
25017374700,82.7
25017374800,82.9
25017382100,82.2
25017382200,84.1
25017382300,79.8
25017382400,81.7
25017382500,81.8
25017382601,81.7
25017382602,82.3
25017383101,77.1
25017383102,78.6
25017383200,80.5
25017383300,77.5
25017383400,80.8
25017383501,79.9
25017383502,81.2
25017383600,80.8
25017383700,85.1
25017383800,83.6
25017383901,82
25017383902,85.8
25017384001,81.2
25017384002,81.1
25017385100,84.2
25017385201,84.9
25017385202,82.9
25017386100,89.3
25017387100,81.8
25017387201,83.8
25017387202,83.6
25017388100,86.5
25017388200,81.2
25017388300,77.4
25019950100,83.2
25019950200,81
25019950400,81.6
25019950500,81.6
25021400100,81.3
25021400200,81.5
25021400300,84.6
25021400400,81.5
25021400500,81.5
25021400600,81.5
25021400700,83.4
25021400800,81.5
25021400900,83.7
25021401000,84.4
25021401100,83.2
25021401200,82.2
25021402101,81.1
25021402102,76.8
25021402200,79.7
25021402300,80
25021402400,81.8
25021402500,81.7
25021403100,86
25021403300,83.7
25021403400,86.5
25021403500,83.3
25021404100,88.7
25021404201,87.1
25021404202,83.6
25021404301,85
25021404302,82.3
25021404400,87.1
25021405100,88.3
25021406101,86.1
25021406102,82
25021407100,80.7
25021408101,82.6
25021408102,78.8
25021409101,82.9
25021409102,81.5
25021410100,81.3
25021410300,85.4
25021410400,80.8
25021411100,82.6
25021411200,83.9
25021411301,83.7
25021411302,81.3
25021412100,85.6
25021412300,81.9
25021413100,82
25021413200,79.3
25021413300,81
25021413401,79.5
25021413402,79.3
25021413500,78.5
25021414100,83.7
25021414200,84.3
25021414300,81.5
25021415101,81.7
25021415102,79.7
25021415200,80.4
25021415300,83.1
25021416101,82
25021416102,81.1
25021416200,81.2
25021416300,85.8
25021416400,83.4
25021417100,82
25021417200,80.7
25021417300,80.4
25021417400,78
25021417501,81.3
25021417502,80.4
25021417601,77.4
25021417602,78.6
25021417701,76.2
25021417702,84.3
25021417801,76.3
25021417802,78.6
25021417901,78.5
25021417902,80.2
25021418002,76.5
25021418003,83.8
25021418004,78.6
25021418101,77.3
25021418102,81.1
25021418200,81.1
25021419100,81.5
25021419200,81.4
25021419300,81.7
25021419400,80.9
25021419500,79.7
25021419600,81.5
25021419700,81.8
25021419800,76.4
25021420100,83.2
25021420201,83.5
25021420202,86.7
25021420302,81
25021421100,75.6
25021421200,79.4
25021422100,81.2
25021422200,81.8
25021422301,81.4
25021422302,78
25021422400,77.7
25021422501,80.5
25021422502,80
25021422600,80.9
25021422700,77.9
25021422800,80
25021423100,81.3
25021440100,80.7
25021441202,84.4
25021441203,78.9
25021441204,74.8
25021442101,82.6
25021442102,85.4
25021442103,84.1
25021442201,78.3
25021442202,83.6
25021443101,81.2
25021443102,81.1
25021456101,80.6
25021456102,78.4
25021456200,78.4
25021456301,76.5
25021456302,82.2
25021456401,79
25021456402,85.4
25021457100,79.5
25021457200,84.3
25023500101,84.5
25023500103,83.4
25023500104,81.5
25023501101,83.1
25023501102,82.5
25023501201,84.5
25023501202,84.2
25023502101,76.5
25023502102,78.3
25023502200,78.6
25023503101,80.5
25023503102,82.2
25023504101,81.8
25023504102,80.9
25023505101,79.4
25023505102,82.6
25023505200,85.1
25023506101,80.7
25023506102,82
25023506202,84
25023506204,79
25023507101,81.8
25023507103,85.7
25023507104,82.4
25023508102,77.5
25023508200,80
25023509101,77.1
25023509102,87
25023510100,77.7
25023510200,80.9
25023510300,80.3
25023510400,74.6
25023510501,76.7
25023510502,76.5
25023510503,76.8
25023510600,81.2
25023510700,81.6
25023510800,75.8
25023510900,70.8
25023511000,76.1
25023511100,79
25023511200,74.8
25023511301,77.8
25023511302,77.1
25023511400,79.1
25023511500,79
25023511600,78.6
25023511701,81.7
25023511702,79.7
25023520100,76.7
25023520201,81.8
25023520202,80.6
25023521101,82.2
25023521102,77.2
25023521201,78.5
25023521202,78.7
25023522101,79.1
25023522102,77.1
25023523100,79.7
25023523201,79.4
25023523202,80
25023524101,81.1
25023524102,77.3
25023525101,77.7
25023525104,83.8
25023525203,82.4
25023525204,82.5
25023526100,77.9
25023530100,83.4
25023530200,81.9
25023530300,77.7
25023530400,79.9
25023530500,76.2
25023530600,86.1
25023530700,83.1
25023530802,80.8
25023530902,80.6
25023540101,80.9
25023540102,78.1
25023540103,81.5
25023541100,87.1
25023542101,77.9
25023542102,77
25023542200,81.7
25023542300,77.5
25023543100,80.5
25023544100,77.7
25023544200,80.6
25023545100,78
25023545200,73.2
25023545400,75.5
25023560100,80.2
25023561100,82.4
25025000100,79.1
25025000202,82.4
25025000301,75.3
25025000302,83.9
25025000401,85.1
25025000402,87
25025000502,88.1
25025000601,79.4
25025000602,79
25025000802,80.2
25025010203,79.2
25025010500,80.1
25025010600,87.7
25025010701,81.5
25025010702,81.5
25025010801,81.5
25025010802,81.5
25025020101,82.3
25025020200,81.5
25025020301,82.6
25025020302,81.5
25025020303,81.3
25025030100,81.5
25025030200,81.4
25025030300,82.4
25025030500,82.3
25025040100,82.2
25025040200,76
25025040300,78.2
25025040401,81.5
25025040600,75.8
25025040801,79.9
25025050101,77.7
25025050200,80.2
25025050300,76.3
25025050400,77.9
25025050500,82.3
25025050600,76.1
25025050700,82.2
25025050901,78.2
25025051000,80.2
25025051101,81.1
25025051200,80.5
25025060101,76.7
25025060200,79.1
25025060301,79.8
25025060400,76.7
25025060501,76.3
25025060600,79.9
25025060700,75.6
25025060800,77.4
25025061000,78
25025061101,76.7
25025061200,80.1
25025070101,83.1
25025070200,87.9
25025070300,86.2
25025070402,85
25025070500,82.6
25025070700,81.3
25025070800,81.3
25025070900,79.3
25025071101,77.4
25025071201,74
25025080100,80.2
25025080300,76.9
25025080401,78
25025080601,75.1
25025081100,76
25025081200,78
25025081300,77.6
25025081400,78.4
25025081500,76.1
25025081700,73.2
25025081800,76.9
25025081900,79.5
25025082000,79
25025082100,76.9
25025090100,80.1
25025090200,75.6
25025090300,75.6
25025090400,78.5
25025090600,77.6
25025090700,76.5
25025090901,80
25025091001,76.6
25025091100,82.7
25025091200,78.4
25025091300,76.9
25025091400,80.1
25025091500,76.9
25025091600,73.8
25025091700,77.2
25025091800,75.6
25025091900,76.7
25025092000,77.2
25025092101,80.1
25025092200,79.8
25025092300,81.6
25025092400,75.6
25025100100,83.8
25025100200,74.8
25025100300,79.9
25025100400,79.7
25025100500,80.3
25025100601,81.9
25025100603,76.5
25025100700,77.1
25025100800,79.8
25025100900,77.9
25025101001,78.2
25025101002,76.5
25025101101,82
25025101102,77.4
25025110103,82.8
25025110201,77.5
25025110301,80.1
25025110401,83.4
25025110403,79.3
25025110501,84
25025110502,78.2
25025110601,87.3
25025110607,78.8
25025120103,81.5
25025120105,80.9
25025120201,80.9
25025120301,79.5
25025120400,85.4
25025120500,83.2
25025120600,81.7
25025120700,84.4
25025130100,84.2
25025130200,83.7
25025130300,81.9
25025130402,79.5
25025130404,82.2
25025130406,79.9
25025140102,78.7
25025140105,78.2
25025140106,79.3
25025140107,77.3
25025140201,78.5
25025140202,82.3
25025140300,81.1
25025140400,80.4
25025160101,80.4
25025160200,80.6
25025160300,75.8
25025160400,76.3
25025160501,77
25025160502,74.5
25025160601,76.7
25025160602,78.5
25025170100,80.8
25025170200,81.3
25025170300,79.2
25025170400,78.8
25025170501,79.8
25025170502,80.9
25025170601,81.1
25025170701,77.3
25025170702,78.8
25025180101,77.6
25025180200,78.9
25025180301,80.5
25025180400,79.2
25025180500,77.3
25027701100,79.7
25027702200,79.4
25027703100,73.7
25027703200,78.5
25027703300,80
25027704200,79.1
25027705100,80.7
25027706100,80.6
25027707100,78.7
25027707200,74.6
25027707300,75.8
25027707400,78.1
25027707500,79.1
25027708100,79.8
25027709100,80.7
25027709201,84.2
25027709202,81.9
25027709400,74.6
25027709501,81.4
25027709502,80.1
25027709600,76.8
25027709701,78.4
25027709702,81.2
25027710100,74.4
25027710200,82
25027710300,75.4
25027710400,80.5
25027710500,78.1
25027710600,78.6
25027710800,77.1
25027711000,77.1
25027711100,81.6
25027712101,83.4
25027712102,85.5
25027713100,82.2
25027715100,82.5
25027716100,79.8
25027716200,74
25027716300,79
25027717100,82.9
25027718100,89.2
25027719100,82.1
25027720100,80.3
25027721101,82.2
25027721102,82.4
25027722100,84.4
25027723100,82
25027724100,80.4
25027725100,80.5
25027726100,78.7
25027726200,78.4
25027727100,83.3
25027728100,80.7
25027728200,81
25027728300,80.4
25027728400,84
25027729100,80.2
25027729200,80.9
25027730100,79.2
25027730200,80
25027730300,79.9
25027730401,78.7
25027730402,79.8
25027730500,77.1
25027730600,84
25027730700,80.4
25027730801,81.3
25027730802,82.3
25027730901,79.3
25027730902,80.1
25027731001,76.8
25027731002,77.3
25027731101,80.8
25027731102,82.5
25027731203,81.9
25027731204,74.1
25027731300,77.4
25027731400,74.4
25027731500,76.3
25027731600,79
25027731700,77.9
25027731800,81.4
25027731900,78.9
25027732002,73.9
25027732201,78
25027732202,78.7
25027732203,74.9
25027732301,79.1
25027732302,81
25027732400,71.6
25027732500,72.9
25027732600,80.4
25027732700,75.2
25027732801,80.5
25027732802,79.2
25027732901,78.9
25027733000,74.9
25027733101,77
25027733102,77.6
25027735100,82
25027735200,78.9
25027736100,80.8
25027736200,79.8
25027736300,80.6
25027736400,79.2
25027736500,80.4
25027737100,79.7
25027737200,75
25027737300,78.8
25027738100,81
25027738201,77.8
25027738202,82.8
25027739100,81.8
25027739200,81.2
25027739300,84.5
25027739400,82.7
25027739500,85.2
25027740101,80.8
25027740200,81.1
25027741101,85.4
25027741102,86
25027742300,79.3
25027742401,82
25027742402,79.4
25027743100,81.5
25027744101,81.8
25027744102,80.8
25027744200,79.1
25027744300,78.4
25027744400,80.6
25027745100,83.5
25027746100,81.1
25027747101,81.9
25027747102,76
25027748100,83.6
25027749100,79.1
25027749200,81.7
25027750100,78.4
25027750200,80.4
25027750300,78.1
25027751101,82.1
25027751102,84.4
25027752100,77.1
25027753100,80.6
25027753200,76.7
25027754100,78.5
25027754200,76.4
25027754300,73.9
25027754400,77.6
25027755100,75.4
25027755200,81.1
25027756101,79.2
25027756102,81.6
25027757100,81
25027757200,74.4
25027757300,80.2
25027757400,79.8
25027757500,79.4
25027758101,77.9
25027758102,82.6
25027759100,84.4
25027760100,79.9
25027761100,78.2
25027761200,80.8
25027761300,81.9
25027761400,81.9
